token,tag
Меня,O
зовут,O
Иван,B-NAME
Петров,I-NAME

Пациент,O
мужского,B-GENDER
пола,I-GENDER

Дата,B-BIRTHDATE
рождения,I-BIRTHDATE
12.04.1987,I-BIRTHDATE

Рост,B-HEIGHT
178,I-HEIGHT
см,I-HEIGHT

Вес,B-WEIGHT
82,I-WEIGHT
кг,I-WEIGHT

Жалуется,B-COMPLAINT
на,I-COMPLAINT
боль,I-COMPLAINT
в,I-COMPLAINT
спине,I-COMPLAINT

Описание,B-DESCRIPTION
исследования,I-DESCRIPTION
поясничный,I-DESCRIPTION
отдел,I-DESCRIPTION

Дополнительно,B-ADDITIONAL
нужна,I-ADDITIONAL
консультация,I-ADDITIONAL
хирурга,I-ADDITIONAL
